TimeStamp,NoOfCells,VehicleId,VehicleType,SignalGroup,LaneId,ApproachId,LocationOnMap,PhaseStatus,PhaseElapsedTime,Speed,Heading,DistanceToStopBar,NearestCVDistanceToStopBar,NearestCVSpeed,CellStatus
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,19.05,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,26.67,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,34.29,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,41.91,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,49.53,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,57.15,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,64.77,3.81,0.00,0
1629792410.9695,10,0,0,2,14,5,2,4,3.50,-1.00,-1.00,72.39,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,11.43,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,19.05,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,26.67,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,34.29,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,41.91,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,49.53,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,57.15,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,64.77,3.81,0.00,0
1629792411.0669,10,0,0,2,14,5,2,4,3.62,-1.00,-1.00,72.39,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,11.43,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,19.05,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,26.67,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,34.29,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,41.91,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,49.53,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,57.15,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,64.77,3.81,0.00,0
1629792411.1702,10,0,0,2,14,5,2,4,3.70,-1.00,-1.00,72.39,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,11.43,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,19.05,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,26.67,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,34.29,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,41.91,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,49.53,3.81,0.00,0
1629792411.3703,10,0,0,2,14,5,2,4,3.90,-1.00,-1.00,57.15,3.81,0.00,0
